state,date,monthly_energy_prod,monthly_energy_use,yearly_energy_prod,yearly_energy_use,monthly_energy_flow,yearly_energy_flow
NC,1981-03,13298.354166666666,133219.75,156416,1572321,-119921.39583333333,-1415905
NC,1981-04,13269.055555555555,132976.08333333334,156416,1572321,-119707.02777777778,-1415905
NC,1981-05,13239.756944444443,132732.41666666666,156416,1572321,-119492.65972222222,-1415905
NC,1981-06,13210.458333333332,132488.75,156416,1572321,-119278.29166666667,-1415905
NC,1981-07,13181.159722222223,132245.08333333334,156416,1572321,-119063.92361111112,-1415905
NC,1981-08,13151.861111111111,132001.41666666666,156416,1572321,-118849.55555555555,-1415905
NC,1981-09,13122.5625,131757.75,156416,1572321,-118635.1875,-1415905
NC,1981-10,13093.263888888889,131514.08333333334,156416,1572321,-118420.81944444445,-1415905
NC,1981-11,13063.965277777777,131270.41666666666,156416,1572321,-118206.45138888888,-1415905
NC,1981-12,13034.666666666666,131026.75,156416,1572321,-117992.08333333333,-1415905
NC,1982-01,13380.902777777777,130703.56944444444,206274,1525783,-117322.66666666666,-1319509
NC,1982-02,13727.138888888889,130380.38888888889,206274,1525783,-116653.25,-1319509
NC,1982-03,14073.375,130057.20833333333,206274,1525783,-115983.83333333333,-1319509
NC,1982-04,14419.611111111111,129734.02777777778,206274,1525783,-115314.41666666667,-1319509
NC,1982-05,14765.847222222223,129410.84722222222,206274,1525783,-114645.0,-1319509
NC,1982-06,15112.083333333332,129087.66666666666,206274,1525783,-113975.58333333333,-1319509
NC,1982-07,15458.319444444443,128764.48611111111,206274,1525783,-113306.16666666667,-1319509
NC,1982-08,15804.555555555555,128441.30555555555,206274,1525783,-112636.75,-1319509
NC,1982-09,16150.791666666666,128118.125,206274,1525783,-111967.33333333333,-1319509
NC,1982-10,16497.027777777777,127794.94444444444,206274,1525783,-111297.91666666666,-1319509
NC,1982-11,16843.26388888889,127471.76388888889,206274,1525783,-110628.5,-1319509
NC,1982-12,17189.5,127148.58333333333,206274,1525783,-109959.08333333333,-1319509
NC,1983-01,17429.256944444445,127627.53472222222,240799,1594752,-110198.27777777778,-1353953
NC,1983-02,17669.01388888889,128106.48611111111,240799,1594752,-110437.47222222222,-1353953
